   : -101.30993247402021    :  [25,  1]  :  [ -5,  -1]
   :  -90.0                 :  [52,  1]  :  [-27,   0]
   :  -78.69006752597979    :  [57,  2]  :  [ -5,   1]
   :  -71.56505117707799    :  [60,  3]  :  [ -3,   1]
   :  -63.43494882292201    :  [64,  5]  :  [ -4,   2]
   :  -45.0                 :  [69, 10]  :  [ -5,   5]
   :  -33.690067525979785   :  [71, 13]  :  [ -2,   3]
   :  -18.43494882292201    :  [73, 19]  :  [ -2,   6]
   :   -9.462322208025617   :  [74, 25]  :  [ -1,   6]
   :   -3.8140748342903543  :  [75, 40]  :  [ -1,  15]
   :    0.0                 :  [75, 46]  :  [  0,   6]
   :   90.0                 :  [21, 46]  :  [ 54,   0]
   :    0.0                 :  [21, 52]  :  [  0,   6]
   :   -8.13010235415598    :  [22, 59]  :  [ -1,   7]
   :  -18.43494882292201    :  [23, 62]  :  [ -1,   3]
   :  -45.0                 :  [27, 66]  :  [ -4,   4]
   :  -71.56505117707799    :  [30, 67]  :  [ -3,   1]
   :  -80.53767779197439    :  [36, 68]  :  [ -6,   1]
   :  -90.0                 :  [43, 68]  :  [ -7,   0]
   :  -99.46232220802563    :  [49, 67]  :  [ -6,  -1]
   : -116.56505117707799    :  [53, 65]  :  [ -4,  -2]
   : -153.434948822922      :  [54, 63]  :  [ -1,  -2]
   : -168.6900675259798     :  [55, 58]  :  [ -1,  -5]
   : -153.434948822922      :  [56, 56]  :  [ -1,  -2]
   :  -87.13759477388825    :  [76, 57]  :  [-20,   1]
   :   26.56505117707799    :  [75, 59]  :  [  1,   2]
   :    7.125016348901798   :  [74, 67]  :  [  1,   8]
   :   18.43494882292201    :  [73, 70]  :  [  1,   3]
   :   33.690067525979785   :  [71, 73]  :  [  2,   3]
   :   45.0                 :  [66, 78]  :  [  5,   5]
   :   56.309932474020215   :  [63, 80]  :  [  3,   2]
   :   71.56505117707799    :  [57, 82]  :  [  6,   2]
   :   78.69006752597979    :  [52, 83]  :  [  5,   1]
   :   90.0                 :  [25, 83]  :  [ 27,   0]
   :   99.46232220802563    :  [19, 82]  :  [  6,  -1]
   :  108.43494882292202    :  [16, 81]  :  [  3,  -1]
   :  116.56505117707799    :  [12, 79]  :  [  4,  -2]
   :  135.0                 :  [ 5, 72]  :  [  7,  -7]
   :  153.434948822922      :  [ 4, 70]  :  [  1,  -2]
   :  161.565051177078      :  [ 3, 67]  :  [  1,  -3]
   :  165.96375653207352    :  [ 2, 63]  :  [  1,  -4]
   :  170.53767779197437    :  [ 1, 57]  :  [  1,  -6]
 > :  180.0                 :  [ 1, 26]  :  [  0, -31]
 ▶ : -170.53767779197437    :  [ 2, 20]  :  [ -1,  -6]
   : -161.565051177078      :  [ 4, 14]  :  [ -2,  -6]
   : -153.434948822922      :  [ 5, 12]  :  [ -1,  -2]
   : -135.0                 :  [12,  5]  :  [ -7,  -7]
   : -110.55604521958347    :  [20,  2]  :  [ -8,  -3]
